rank,account_name,priority,confidence,why,flags,fit,intent,neglect,arr_num,account_tier,industry,region,owner,source_names,source_arr
1,Alley Cat Allies,0.6136463225438511,High,"top 30% by revenue ($70,450); strongest signal: content download ×9 this week",,0.8508391608391608,0.9041306984595808,0.29444444444444445,70450.0,Enterprise,Animal Welfare,Europe,Rep C,Alley Cat Allies,"70,450"
2,Education Development Center,0.5966254468588108,High,"top 10% by revenue ($120,000); strongest signal: webinar attendance ×5 8 days before data cutoff",,0.9389510489510489,0.7767861725039804,0.3055555555555556,120000.0,Enterprise,Education,North America,Rep B,Education Development Center,"120,000"
3,American Friends Service Committee,0.5808263986276013,High,"top 10% by revenue ($92,450); strongest signal: webinar attendance ×6 15 days before data cutoff; no rep contact in 255 days",Merged from duplicate CRM records,0.9182377622377622,0.47506380857816305,1.0,92450.0,Strategic,Religious,Africa,Rep A,AFSC | American Friends Service Committee,"77,100 | 92,450"
4,No Kid Hungry,0.5448916083916084,Medium,"$26,850 ARR, Enterprise; strongest signal: content download ×4 14 days before data cutoff; last contacted 90 days ago",ARR missing — imputed median,0.6410489510489511,1.0,0.5,26850.0,Enterprise,Human Services,Europe,Rep C,No Kid Hungry,
5,PATH,0.5102450076925418,High,"top 30% by revenue ($76,250); strongest signal: content download ×11 41 days before data cutoff; last contacted 149 days ago",,0.8697202797202797,0.48334829751509684,0.8277777777777777,76250.0,Enterprise,Healthcare,North America,Rep B,PATH,"76,250"
6,"Save the Children Federation, Inc.",0.4801375696654053,High,"top 10% by revenue ($84,600); strongest signal: webinar attendance ×7 this week",Merged from duplicate CRM records,0.8896503496503496,0.6757511075170081,0.2222222222222222,84600.0,Enterprise,Human Services,North America,Rep A,"Save the Children | Save the Children Federation, Inc.","84,600 | 71,100"
7,Christian Aid,0.46475669434597644,High,"top 30% by revenue ($64,400); strongest signal: page visit ×21 8 days before data cutoff; no rep contact in 764 days",,0.8372027972027971,0.36447194992452203,1.0,64400.0,Enterprise,Religious,North America,Rep D,Christian Aid,"64,400"
8,Cold Spring Harbor Laboratory,0.43948370108379475,High,"top 10% by revenue ($94,250); strongest signal: content download ×7 60 days before data cutoff; no rep contact in 691 days",,0.9224335664335666,0.25205629524238365,1.0,94250.0,Strategic,Research,Asia Pacific,Rep B,Cold Spring Harbor Laboratory,"94,250"
9,Pew Research Center,0.43719120028560965,High,"top 10% by revenue ($96,150); strongest signal: content download ×11 43 days before data cutoff; no rep contact in 841 days",,0.9148251748251748,0.254137000031037,1.0,96150.0,Enterprise,Research,Africa,Rep A,Pew Research Center,"96,150"
10,VolunteerMatch,0.4286804336731267,High,"top 30% by revenue ($58,750); strongest signal: page visit ×29 12 days before data cutoff; last contacted 158 days ago",,0.8364195804195804,0.3559786813343086,0.8777777777777778,58750.0,Strategic,Community Development,North America,Rep C,VolunteerMatch,"58,750"
